"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Israel","Tanks",4,0,0,1,5,1,"2023-11-13"
"2","Israel","Armored Personnel Carriers",2,0,50,1,53,2,"2023-11-13"
"3","Israel",", 3, 4, 5, 6, 7 and 8, captured)",0,0,0,0,0,3,"2023-11-13"
"4","Israel","Infantry Mobility Vehicles",3,0,21,2,26,4,"2023-11-13"
"5","Israel","Command Posts And Communications Stations",0,0,1,0,1,5,"2023-11-13"
"6","Israel","Engineering Vehicles And Equipment",3,0,7,0,10,6,"2023-11-13"
"7","Israel"," ",0,0,0,0,0,7,"2023-11-13"
"8","Israel","Reconnaissance Unmanned Aerial Vehicles",1,0,0,0,1,8,"2023-11-13"
"9","Israel","Helicopters",1,0,0,0,1,9,"2023-11-13"
"10","Israel","Trucks, Vehicles, and Jeeps",9,0,11,5,25,10,"2023-11-13"
"11","Israel","All Types",23,0,90,9,122,55,"2023-11-13"
"12","Hamas","Trucks, Vehicles, and Jeeps",20,5,16,1,42,1,"2023-11-13"
"13","Hamas","Naval Ships",10,0,0,0,10,2,"2023-11-13"
"14","Hamas","All Types",30,5,16,1,52,3,"2023-11-13"
